Participant,Session,Condition,IWS,CWS
Rachel,1,Baseline,5,26
Rachel,2,Baseline,6,23
Rachel,3,Baseline,4,27
Rachel,5,Baseline,7,24
Rachel,6,Baseline,6,25
Rachel,7,Baseline,7,22
Rachel,8,SI,5,24
Rachel,9,SI,8,21
Rachel,10,SI,5,26
Rachel,11,SI,6,25
Rachel,12,SI,5,23
Rachel,13,SI,7,22
Rachel,14,SI,5,26
Rachel,15,SI,4,24
Rachel,16,SI,5,27
Rachel,17,SI,3,28
Rachel,18,SI,2,26
Rachel,19,SI,1,30
Rachel,20,SI,5,24
Rachel,21,SI,1,28
Rachel,22,SI,0,32
Rachel,23,PI,0,30
Rachel,29,PI,3,27
Rachel,30,PI,1,29
Rachel,70,Maintenance,1,29
Rachel,71,Maintenance,5,25
Rachel,72,Maintenance,2,28
Kim,1,Baseline,5,25
Kim,2,Baseline,3,27
Kim,3,Baseline,4,26
Kim,5,Baseline,2,28
Kim,6,Baseline,1,29
Kim,7,Baseline,2,28
Kim,8,Baseline,3,27
Kim,9,Baseline,4,26
Kim,10,Baseline,5,25
Kim,11,Baseline,8,22
Kim,13,SI,8,22
Kim,14,SI,9,21
Kim,15,SI,1,29
Kim,16,SI,3,27
Kim,17,SI,0,30
Kim,18,SI,2,28
Kim,19,SI,2,28
Kim,20,SI,0,30
Kim,21,SI,0,30
Kim,22,SI,0,30
Kim,37,PI,0,30
Kim,38,PI,1,29
Kim,39,PI,3,27
Kim,70,Maintenance,1,29
Kim,71,Maintenance,0,30
Kim,72,Maintenance,0,30
Bettie,1,Baseline,1,24
Bettie,2,Baseline,2,23
Bettie,3,Baseline,1,21
Bettie,5,Baseline,1,21
Bettie,6,Baseline,2,24
Bettie,7,Baseline,2,23
Bettie,8,Baseline,3,22
Bettie,9,Baseline,2,23
Bettie,10,Baseline,0,22
Bettie,11,Baseline,2,22
Bettie,13,Baseline,4,23
Bettie,14,SI,3,22
Bettie,15,SI,4,21
Bettie,16,SI,2,23
Bettie,17,SI,2,23
Bettie,18,SI,2,23
Bettie,19,SI,2,23
Bettie,20,SI,5,20
Bettie,23,SI,4,21
Bettie,24,SI,2,23
Bettie,25,SI,2,25
Bettie,26,SI,3,24
Bettie,27,SI,4,26
Bettie,28,SI,5,25
Bettie,32,SI,3,24
Bettie,33,SI,4,25
Bettie,37,SI,6,23
Bettie,38,PI,3,25
Bettie,39,PI,0,27
Bettie,40,PI,1,27
Bettie,66,Maintenance,0,28
Bettie,69,Maintenance,1,32
Bettie,72,Maintenance,0,31
Orin,8,Baseline,3,12
Orin,9,Baseline,2,13
Orin,10,Baseline,5,14
Orin,11,Baseline,6,13
Orin,14,Baseline,9,9
Orin,15,Baseline,4,13
Orin,16,Baseline,9,16
Orin,17,Baseline,5,14
Orin,24,SI,8,7
Orin,25,SI,7,8
Orin,30,SI,6,9
Orin,31,SI,2,15
Orin,35,SI,1,25
Orin,36,SI,0,22
Orin,37,SI,3,23
Orin,38,SI,1,23
Orin,39,SI,0,25
Orin,41,SI,0,25
Orin,42,SI,1,22
Orin,43,SI,2,29
Orin,44,SI,2,36
Orin,45,PI,2,27
Orin,46,PI,0,31
Orin,47,PI,0,29
Orin,70,Maintenance,1,31
Orin,71,Maintenance,1,30
Orin,72,Maintenance,1,29
